Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.dk.hackathons.json	8639	-	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	63	63	0	0	0	0	1	0	1
fsh-generated/resources/EpisodeOfCare-EpisodeOfCareExample.json	338	1	0	0	1	0	0	0	0	1414	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0	0
fsh-generated/resources/Observation-PhysicalActivityObservationExample.json	840	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0	0
fsh-generated/resources/Observation-SleepObservationExample.json	829	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	1564	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	19	0	0	0	0	0	0	1
fsh-generated/resources/QuestionnaireResponse-TelemedicineQuestionnaireResponseExample.json	3821	2	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	47	28	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PhysicalActivityObservation.json	3018	1	0	19	0	0	0	0	0	22	0	0	0	0	1	0	0	1	0	0	202	648	0	0	0	0	4	1	2
fsh-generated/resources/StructureDefinition-SleepObservation.json	3018	1	0	15	0	0	0	0	0	19	0	0	0	0	1	0	0	1	0	0	215	385	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-TelemedicineEpisodeOfCare.json	996	1	0	8	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	95	279	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-TelemedicinePatient.json	651	1	0	12	0	0	0	0	0	8	0	0	0	0	1	0	0	1	0	0	210	366	0	0	0	0	4	0	2
