URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/FHIR-version,4.0.1,active,"2.16.840.1.113883.4.642.4.1310",FHIRVersion,FHIRVersion,"All published FHIR Versions.","ValueSet/FHIR-version"
http://hl7.org/fhir/capability-statement-kind,4.0.1,active,"2.16.840.1.113883.4.642.4.199",CapabilityStatementKind,CapabilityStatementKind,"How a capability statement is intended to be used.","ValueSet/capability-statement-kind"
http://hl7.org/fhir/conditional-delete-status,4.0.1,active,"2.16.840.1.113883.4.642.4.195",ConditionalDeleteStatus,ConditionalDeleteStatus,"A code that indicates how the server supports conditional delete.","ValueSet/conditional-delete-status"
http://hl7.org/fhir/conditional-read-status,4.0.1,active,"2.16.840.1.113883.4.642.4.201",ConditionalReadStatus,ConditionalReadStatus,"A code that indicates how the server supports conditional read.","ValueSet/conditional-read-status"
http://hl7.org/fhir/document-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.187",DocumentMode,DocumentMode,"Whether the application produces or consumes documents.","ValueSet/document-mode"
http://hl7.org/fhir/event-capability-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.183",EventCapabilityMode,EventCapabilityMode,"The mode of a message capability statement.","ValueSet/event-capability-mode"
http://hl7.org/fhir/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/reference-handling-policy,4.0.1,active,"2.16.840.1.113883.4.642.4.203",ReferenceHandlingPolicy,ReferenceHandlingPolicy,"A set of flags that defines how references are supported.","ValueSet/reference-handling-policy"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/restful-capability-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.177",RestfulCapabilityMode,RestfulCapabilityMode,"The mode of a RESTful capability statement.","ValueSet/restful-capability-mode"
http://hl7.org/fhir/restful-interaction,4.0.1,active,,FHIR Restful Interactions,,"The set of interactions defined by the RESTful part of the FHIR specification.","ValueSet/system-restful-interaction,ValueSet/type-restful-interaction"
http://hl7.org/fhir/search-param-type,4.0.1,active,"2.16.840.1.113883.4.642.4.12",SearchParamType,SearchParamType,"Data types allowed to be used for search parameters.","ValueSet/search-param-type"
http://hl7.org/fhir/versioning-policy,4.0.1,active,"2.16.840.1.113883.4.642.4.191",ResourceVersionPolicy,ResourceVersionPolicy,"How the system supports versioning for a resource.","ValueSet/versioning-policy"
http://terminology.hl7.org/CodeSystem/message-transport,4.0.1,active,"2.16.840.1.113883.4.642.4.1080",MessageTransport,MessageTransport,"The protocol used for message transport.","ValueSet/message-transport"
http://terminology.hl7.org/CodeSystem/restful-security-service,4.0.1,active,"2.16.840.1.113883.4.642.4.1079",RestfulSecurityService,RestfulSecurityService,"Types of security services used with FHIR.","ValueSet/restful-security-service"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/jurisdiction"
urn:iso:std:iso:3166:-2,2013-11,retired,"1.0.3166.2",Iso3166_2,ISO 3166 Part 2 Country Subdivision Codes,"Identifies the coding system published in the ISO 3166-2 Standard for Country Subdivision codes. This standard is released periodically, and a new OID will be assigned by ISO for new editions.","ValueSet/jurisdiction"
